Nazwa;Kcal;Wêglowodany;Bia³ko;T³uszcz
Œmietanka kremowa 30% t³uszczu;291;3.1;2.2;30
Truskawki;28;7.2;0.7;0.4
Truskawki d¿em niskos³odzony;153;37.8;0.3;0.2
Truskawki d¿em wysokos³odzony;252;62.3;0.3;0.2
Truskawki w galaretce;126;16;15.4;0.2
Truskawki z bit¹ œmietan¹;127;8.4;1.1;10.4
Tuñczyk w oleju;190;0;27.1;9
Tuñczyk w wodzie;96;0;21;1.2
Wafle nadziewane;519;60.7;8.3;27.5
Wafle w czekoladzie;553;55.6;7.4;33.9
W¹troba cielêca;124;4.1;19.2;3.3
W¹troba wieprzowa;130;2.6;22;3.4
W¹troba wo³owa;125;4;20;3.1
W¹tróbka wieprzowa saute;239;4.9;20.5;15.5
Wêdzonka wo³owa gotowana;102;0.5;17.8;3.1
Wêgorz wêdzony;326;0;17.9;28.6
Wieprzowina duszona;225;1.2;11.4;19.8
Wieprzowina gotowana;364;3.1;22.6;30
Winogrona;69;17.6;0.5;0.2
Wiórki kokosowe;606;27;5.6;63.2
Wiœnie;47;10.9;0.9;0.4
Wiœnie d¿em niskos³odzony;154;37.8;0.4;0.2
Wiœnie d¿em wysokos³odzony;252;61.7;0.4;0.2
W³oszczyzna mro¿ona;25;7.9;1.4;0.3
Wo³owina pieczeñ;117;0;20.9;3.6
Wo³owina polêdwica;113;0;20.1;3.5
Wo³owina rostbef;152;0;21.5;7.3
Wo³owina rozbratel;157;0;16.7;10.1
Wo³owina szponder;217;0;19.3;15.7
Ziarna s³onecznika/ pestki s³onecznika;580;12.3;22.5;49
Ziemniaki póŸne;85;20.5;1.9;0.1
Ziemniaki puree;90;18.4;2.1;1.4
Ziemniaki wczesne;69;16.3;1.8;0.1
Ziemniaki z t³uszczem;106;18.7;2;3.1
Zupa cebulowa;44;4;1.4;2.7
Zupa cytrynowa z ry¿em;58;8.7;1.4;2.2
Zupa fasolowa;62;10;4;1.8
Zupa grochowa;66;8.9;4.4;2.4
Zupa grzybowa zabielana;26;1.3;1.3;1.8
Zupa jarzynowa;43;6.2;1.7;1.8
Zupa jesienna mro¿ona;27;7.2;1.6;0.2
Zupa kalafiorowa;28;4.9;1.6;0.5
Zupa kalafiorowa mro¿ona;22;5.5;2;0.2
Zupa neapolitañska;63;8.2;2.2;2.6
Zupa ogórkowa;42;5;1.4;2
Zupa owocowa z jab³ek;42;11.8;0.1;0.1
Zupa pomidorowa;11;2.1;1;0.1
Zupa pomidorowa z makaronem;35;3.3;1.5;1.8
Zupa pomidorowa z ry¿em;37;3.9;1.5;1.8
Zupa pomidorowa zabielana;28;1.9;1.3;1.8
Zupa selerowa;37;4.5;1.6;1.8
Zupa selerowa z grzankami;51;8.1;1.8;1.9
Zupa szczawiowa;40;2.9;1.6;2.5
Zupa szpinakowa z ziemniakami;40;6.6;2.2;0.9
Zupa w³oska mro¿ona;27;6.9;1.8;0.3
Zupa z fasoli szparagowej;43;8.9;2.2;0.6
Zupa z porów z makaronem;58;10.3;2.4;1.4
Zupa z zielonego groszku;56;11.2;3.2;1.2
Zupa ziemniaczana;39;6.6;1.4;1.1
Zupa zimowa mro¿ona;25;6.9;2.1;0.3
¯eberka wieprzowe duszone;210;2.2;7.9;19.2
¯ó³tko jaja kurzego;314;0.3;15.5;28.2
¯urek;124;23.5;2.2;3.1
