Nazwa;Kcal;Wêglowodany;Bia³ko;T³uszcz
Dorsz wêdzony;94;0;22.1;0.5
Dorsz z rusztu;172;0.6;22.1;9.1
Dynia;28;7.7;1.3;0.3
Dynia pestki;556;18;24.5;45.8
Dynia z pomidorami;44;6.5;1.2;2.4
Eklerki z bit¹ œmietan¹;317;33.5;5.8;18
Fasola bia³a suche nasiona;288;61.6;21.4;1.6
Fasola ciêta konserwowa;16;4.5;1.5;0.2
Fasola szparagowa;27;7.6;2.4;0.2
Fasolka flageolet konserwowa;61;15;6.3;0.2
Fasolka po bretoñsku;141;15.9;8;6.6
Fasolka szparagowa;97;10.3;2.9;6.9
Fasolka szparagowa mro¿ona;24;6.8;2.2;0.2
Figi suszone;290;78;3.6;1.2
Flaki;84;0;16;2.2
Fl¹dra œwie¿a;83;0;16.5;1.8
Galaretka z nó¿ek wieprzowych;202;0.8;16.9;14.9
Gêœ tuszka;339;0;14.1;31.8
Go³¹bki z miêsem i ry¿em w sosie pomidorowym;108;10;3.6;6.7
Grejpfrut;36;9.8;0.6;0.2
Groch suche nasiona;293;60.2;23.8;1.4
Groszek zielony;75;17;6.7;0.4
Groszek zielony konserwowy;63;15.8;4.9;0.2
Groszek zielony mro¿ony;72;16.3;6.4;0.4
Groszek zielony z mas³em;100;9.3;3.7;6.8
Gruszka;54;14.4;0.6;0.2
Gruszki w sosie waniliowym;151;34.8;1.6;1.1
Gulasz wo³owy;148;2.6;14;9.2
Halibut bia³y œwie¿y;98;0;20.1;1.9
Herbata bez cukru;0;0;0.1;0
Herbatniki;437;76.8;8.2;11
Herbatniki Corso;440;67.1;5;17.2
Herbatniki kakaowe;474;62.9;6.9;22.3
Herbatniki kokosowe;473;59.8;6.4;25.2
Herbatniki sezamowe;503;55.7;8.1;28.6
Herbatniki w czekoladzie;489;63.1;6.3;24
Herbatniki z cukrem;460;70.7;6.7;17.2
Herbatniki z nadzieniem czekoladowym;497;57.3;5.5;27.9
Herbatniki z nadzieniem owocowym;389;58.6;3.8;16.1
Indyk miêso z piersi bez skóry;84;0;19.2;0.7
Indyk miêso z podudzia ze skór¹;142;0;15.7;8.9
Indyk miêso z udŸca ze skór¹;131;0;18.4;6.4
Indyk skrzyd³o;168;0;16.5;11.4
Jab³ka pieczone;93;20.8;0.3;1.6
Jab³ka suszone;238;62.3;2.1;2.1
Jab³ka w kruchym cieœcie;348;45.3;4.1;17.4
Jab³ko;46;12.1;0.4;0.4
Jagody d¿em niskos³odzony;153;38.2;0.3;0.2
Jagodzianki;314;60.6;7.1;5.4
Jaja gotowane;109;0.5;9.8;7.6
Jaja kurze ca³e;139;0.6;12.5;9.7
Jaja sadzone;168;0.6;9.9;14.2
Jajecznica;119;0.5;9.8;8.7
Jarmu¿;29;6.1;3.3;0.7
Jarzyny mro¿one;30;7.5;2.8;0.3
Jogurt bananowy 15 %;70;10.4;3.7;1.5
Jogurt jagodowy 15 %;62;8.8;3.7;1.5
Jogurt jagodowy 15%;62;8.8;3.7;1.5
Jogurt morelowy 15 %;63;8.9;3.7;1.5
Jogurt morelowy 15%;63;8.9;3.7;1.5
Jogurt naturalny 2 %;60;6.2;4.3;2
Jogurt naturalny 2%;60;6.2;4.3;2
